cell_type,n_tissues
brush cell of tracheobronchial tree,1
common dendritic progenitor,1
columnar/cuboidal epithelial cell,1
colon epithelial cell,1
collagen secreting cell,1
club cell,1
ciliated epithelial cell,1
ciliated cell,1
"central memory CD8-positive, alpha-beta T cell",1
"central memory CD4-positive, alpha-beta T cell",1
cycling T cell,1
pulmonary capillary endothelial cell,1
pulmonary artery endothelial cell,1
pulmonary alveolar type 2 cell,1
pulmonary alveolar type 1 cell,1
pulmonary alveolar epithelial cell,1
progenitor cell of mammary luminal epithelium,1
pro-T cell,1
primitive red blood cell,1
adventitial fibroblast,1
pre-conventional dendritic cell,1
"CD14-low, CD16-positive monocyte",1
B-2 B cell,1
B-1b B cell,1
B-1a B cell,1
B-1 B cell,1
ventricular cardiac muscle cell,1
"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",1
precursor B cell,1
adventitial cell,1
activated type II NK T cell,1
"activated CD4-positive, alpha-beta T cell, human",1
"activated CD4-positive, alpha-beta T cell",1
abnormal cell,1
"CD14-positive, CD16-negative classical monocyte",1
reticulocyte,1
respiratory tract suprabasal cell,1
pulmonary interstitial fibroblast,1
respiratory tract goblet cell,1
respiratory tract epithelial cell,1
respiratory basal cell,1
renal principal cell,1
renal interstitial pericyte,1
renal beta-intercalated cell,1
renal alpha-intercalated cell,1
pulmonary neuroendocrine cell,1
pulmonary ionocyte,1
respiratory tract hillock cell,1
kidney inner medulla collecting duct epithelial cell,1
kidney epithelial cell,1
kidney distal convoluted tubule epithelial cell,1
kidney cortex collecting duct epithelial cell,1
kidney connecting tubule principal cell,1
kidney connecting tubule epithelial cell,1
kidney collecting duct principal cell,1
kidney collecting duct intercalated cell,1
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",1
secondary crest myofibroblast,1
kidney cell,1
kidney capillary endothelial cell,1
kidney arterial blood vessel cell,1
ionocyte,1
intestine goblet cell,1
intestinal tuft cell,1
intestinal epithelial cell,1
kidney collecting duct cell,1
lung goblet cell,1
lung endothelial cell,1
luminal hormone-sensing cell of mammary gland,1
luminal epithelial cell of mammary gland,1
luminal adaptive secretory precursor cell of mammary gland,1
lactocyte,1
kidney resident macrophage,1
kidney proximal convoluted tubule epithelial cell,1
kidney interstitial alternatively activated macrophage,1
kidney outer medulla collecting duct intercalated cell,1
kidney loop of Henle thin descending limb epithelial cell,1
kidney loop of Henle thin ascending limb epithelial cell,1
kidney loop of Henle thick ascending limb epithelial cell,1
kidney loop of Henle descending limb epithelial cell,1
kidney loop of Henle cortical thick ascending limb epithelial cell,1
kidney loop of Henle ascending limb epithelial cell,1
kidney interstitial fibroblast,1
kidney interstitial cell,1
kidney pelvis urothelial cell,1
fetal pre-type II pulmonary alveolar epithelial cell,1
eurydendroid cell,1
epithelial cell of proximal tubule segment 3,1
epithelial cell of proximal tubule segment 1,1
epithelial cell of pancreas,1
epithelial cell of nephron,1
epithelial cell of lung,1
epithelial cell of lower respiratory tract,1
inflammatory macrophage,1
epithelial cell of early distal convoluted tubule,1
epithelial cell of distal tubule,1
eosinophil,1
enteroendocrine cell,1
endothelial tip cell,1
endothelial cell of respiratory system lymphatic vessel,1
elicited macrophage,1
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",1
epithelial cell of glomerular capsule,1
immature innate lymphoid cell,1
immature alpha-beta T cell,1
immature Schwann cell,1
hepatic stellate cell,1
hematopoietic cell,1
helper T cell,1
"group 3 innate lymphoid cell, human",1
group 1 innate lymphoid cell,1
fibroblast of breast,1
glomerular mesangial cell,1
glomerular endothelial cell,1
glomerular capillary endothelial cell,1
glandular secretory epithelial cell,1
germinal center T cell,1
germinal center B cell,1
fibrocyte,1
fibroblast of mammary gland,1
fibroblast of lung,1
granzyme K-associated CD8 T cell,1
